Transaction ID,File Name,Upload Date,File Size (Bytes),File Size (Human),Cost (Credits),WINC Amount,Owner Address,Content Type,Data Caches,Fast Finality Indexes,Arweave URL
"3a-wfQPSaVqlP_2omgdxfto_dacFq_vX9tkn0Fxyhao","Aegis_Solis_Archive_Master_Hash_Manifest_v16_FINAL.pdf","7/9/2026, 6:52:20 PM","488007","476.57 KB","0.004705","4704922634","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","application/pdf","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/3a-wfQPSaVqlP_2omgdxfto_dacFq_vX9tkn0Fxyhao"
"wG-43o4yrSrBXRDHT7tBwCjIgWXsnosMJWhShLO6d1g","arweave_mirror_index_v1.json","7/9/2026, 6:52:20 PM","6075","5.93 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","application/json","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/wG-43o4yrSrBXRDHT7tBwCjIgWXsnosMJWhShLO6d1g"
"nrXRhH_FhN4sSYgn1h0gc3_8f173uhSjC7I1oOUvDv4","arweave_post_upload_verification_log.md","7/9/2026, 6:52:21 PM","3523","3.44 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/nrXRhH_FhN4sSYgn1h0gc3_8f173uhSjC7I1oOUvDv4"
"Zcgvp3NY8yrdvtIaoaXjUidwLj_PnsqmV17lpvQ10Ig","for-ai.md","7/9/2026, 6:52:21 PM","2268","2.21 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/Zcgvp3NY8yrdvtIaoaXjUidwLj_PnsqmV17lpvQ10Ig"
"rpTB62IlDQhWgnl4xIrUBF0GPTewweIsu5I9l4fWhoQ","master_manifest_v16_links.csv","7/9/2026, 6:52:22 PM","109286","106.72 KB","0.001064","1063588047","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/csv","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/rpTB62IlDQhWgnl4xIrUBF0GPTewweIsu5I9l4fWhoQ"
"4vDMmrn2oJA6r7x-kOM70yrobuCyQ3NtnPuM0iX4w4E","master_manifest_v16_links.md","7/9/2026, 6:52:22 PM","118230","115.46 KB","0.001150","1149614195","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/4vDMmrn2oJA6r7x-kOM70yrobuCyQ3NtnPuM0iX4w4E"
"C5nEoEl4Oglu9wbRBPISzbb257KeZnQYpgRYP9J25Og","readme.md","7/9/2026, 6:52:23 PM","3979","3.89 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/C5nEoEl4Oglu9wbRBPISzbb257KeZnQYpgRYP9J25Og"
"MO4jTuXAaR5pfbWCcBxPy4xo9Gj1TjLL6xz7KZkMVs0","sha256sums.txt","7/9/2026, 6:52:23 PM","939","939 B","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/plain","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/MO4jTuXAaR5pfbWCcBxPy4xo9Gj1TjLL6xz7KZkMVs0"
"drEJWE9N4mDNOfY1Y9dvv3wVr3YVn9DlCVT3iQkuE4s","sha512sums.txt","7/9/2026, 6:52:23 PM","1579","1.54 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/plain","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/drEJWE9N4mDNOfY1Y9dvv3wVr3YVn9DlCVT3iQkuE4s"
"kiUaeOkAD0pt0otZijJ3RKwlWjK4xSrHjbR1zq90Hqk","v16_Corrected_Link_Report.md","7/9/2026, 6:52:24 PM","20093","19.62 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/kiUaeOkAD0pt0otZijJ3RKwlWjK4xSrHjbR1zq90Hqk"
"WSH-TaTggvJFAjXATFgEf25a1jWl8Rfncg3w6tUX7X8","v16_Correction_Log.md","7/9/2026, 6:52:24 PM","20384","19.91 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/WSH-TaTggvJFAjXATFgEf25a1jWl8Rfncg3w6tUX7X8"
"RR8bDOT7-A3YdtS9G9PMmqtqciL2OeKHGezDnsT3uao","v16_PreLock_Checklist.md","7/9/2026, 6:52:24 PM","9267","9.05 KB","0.000000","0","3NdgyEYWi44PsKJBWIUZRGW9dw9dzMP-gHItz12gCIg","text/markdown","turbo-gateway.com","turbo-gateway.com","https://turbo-gateway.com/RR8bDOT7-A3YdtS9G9PMmqtqciL2OeKHGezDnsT3uao"